case,n,status,D_m,q,covered,true_source_contained
58,2,bounded,38.66453382178949,1.0000000000000029,True,True
58,3,bounded,16.32328407469191,1.0,True,True
58,5,bounded,8.258674952523256,1.0,True,True
58,8,bounded,7.508273936850467,1.0000000000000142,True,True
58,12,bounded,5.651137392174102,1.0000000000000158,True,True
59,2,bounded,290.129319094151,1.0000000000000002,True,True
59,3,bounded,17.026447422399283,1.0000000000000018,True,True
59,5,bounded,17.026447422399475,1.000000000000005,True,True
59,8,bounded,12.991554849859941,1.0026515175676747,False,True
59,12,bounded,3.8632458127610745,1.0000000000000286,True,True
60,2,bounded,39.3776372419539,1.0,True,True
60,3,bounded,32.85355148461968,1.0000147669158543,False,True
60,5,bounded,10.412687035181426,1.003134430859901,False,True
60,8,bounded,8.041384676745906,1.0000209034012433,False,True
60,12,bounded,1.1293258042736511,1.0095657275986532,False,True
61,2,bounded,86.19279023374077,1.0,True,True
61,3,bounded,68.33485099525427,1.000000000000003,True,True
61,5,bounded,10.28825310135765,1.0105174106185737,False,True
61,8,bounded,9.890982437962625,1.010517410618573,False,True
61,12,bounded,9.349656899185675,1.0049724262876296,False,True
62,2,bounded,27.958294756884975,1.0,True,True
62,3,bounded,21.934340504949486,1.0000000000000027,True,True
62,5,bounded,21.934340504949496,1.0,True,True
62,8,bounded,15.820259355856436,1.0,True,True
62,12,bounded,5.549926636953244,1.0,True,True
63,2,bounded,34.46145512281602,1.0000000000000013,True,True
63,3,bounded,21.978258450401515,1.0022747282134907,False,True
63,5,bounded,11.337905840305835,1.0000000000000004,True,True
63,8,bounded,11.337905840305885,1.0000000000000049,True,True
63,12,bounded,3.7348241839236307,1.0000000000000149,True,True
64,2,bounded,138.2091686004039,1.0000000000000009,True,True
64,3,bounded,30.913607735689688,1.0,True,True
64,5,bounded,15.452459960808858,1.000000000000004,True,True
64,8,bounded,13.030622464184734,1.0000000000000047,True,True
64,12,bounded,5.758441074702862,1.00000000000003,True,True
65,2,bounded,38.82529367456352,1.0000128314104522,False,True
65,3,bounded,38.46355976152256,1.000012831410451,False,True
65,5,bounded,18.86082811973458,1.0000000000000115,True,True
65,8,bounded,8.335159207905205,1.0,True,True
65,12,bounded,1.8375705907825013,1.0000000000000469,True,True
66,2,bounded,329.82351252073937,1.0000000000000002,True,True
66,3,bounded,55.50390633419298,1.0000000000000018,True,True
66,5,bounded,14.219508343108181,1.0007351584225408,False,True
66,8,bounded,10.385373376373858,1.000189470185149,False,True
66,12,bounded,3.194421201956365,1.0,True,True
67,2,bounded,33.31198365965153,1.0000000000000033,True,True
67,3,bounded,25.419989075739135,1.000000000000002,True,True
67,5,bounded,13.546450443444302,1.0000000000000016,True,True
67,8,bounded,6.677237190606024,1.00000000000003,True,True
67,12,bounded,6.677237190606426,1.00000000000003,True,True
